feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T160	E1	CRC	-0.0213067522171662	0.00996226862526417	107	49	0.0348434550858762	0.458930601066191
T166	X3	X3	0.00176053015814037	0.000825971662543339	107	85	0.0354530784259147	0.458930601066191
T201	X2	X2	-0.000564711146363461	0.0002634258180244	107	28	0.0344320777124444	0.458930601066191
T212	E1	CRC	-0.00185308870034916	0.000854385315940358	107	40	0.0324127308254655	0.458930601066191
T284	X2	X2	-0.000171962366841247	8.04770327938211e-05	107	3	0.035006437518772	0.458930601066191
T287	X2	X2	-0.000182514061669853	8.50109226727336e-05	107	19	0.0341673612680852	0.458930601066191
T356	X2	X2	-0.000193572790669039	9.07833233015491e-05	107	14	0.0353868983632791	0.458930601066191
T364	E1	CRC	0.00548816048796763	0.00257690027508627	107	8	0.0355978535425227	0.458930601066191
T365	X3	X3	-0.000925384478613667	0.000432357774479354	107	8	0.0347126636667868	0.458930601066191
T372	E1	CRC	0.000487913980703765	0.000228487420662908	107	3	0.0351217367684818	0.458930601066191
T335	X2	X2	0.000881944785189292	0.000414843659503768	107	22	0.0359194875248584	0.459769440318187
T182	X1	male	-0.00623972447035111	0.00295534476928861	107	32	0.037187188844825	0.463729407381353
T208	X2	X2	-0.000170333558367583	8.0505352289862e-05	107	15	0.0367960360077608	0.463729407381353
T239	E1	CRC	0.00233084776164886	0.00110442475857965	107	15	0.0372639702360016	0.463729407381353
T249	X2	X2	-0.000498214802148713	0.000235248273047189	107	11	0.0366202671415032	0.463729407381353
T186	X1	male	-0.0141941431178726	0.00676127951639298	107	37	0.0382560978965059	0.470143542308944
T380	X2	X2	2.95438517326943e-05	1.40765748186242e-05	107	5	0.0383041055675814	0.470143542308944
T319	X1	male	-0.0113972428903389	0.00545227820157733	107	17	0.039071302189809	0.476297779075767
T214	X2	X2	0.000127961230764979	6.13304553057691e-05	107	27	0.0394344032282153	0.477476017465958
T49	E1	CRC	0.00183247782299835	0.000886778803246112	107	18	0.0413201818512386	0.480816661541686
T53	X2	X2	-0.000681244770465985	0.000328170766497728	107	77	0.0404195346447821	0.480816661541686
T87	X2	X2	0.000238783208558552	0.00011483013761368	107	32	0.0400841613327108	0.480816661541686
T125	X2	X2	0.000502983610164812	0.000243169087560502	107	22	0.0411271051068443	0.480816661541686
T131	E1	CRC	-0.00163263243779253	0.000789051424429062	107	14	0.041064263166508	0.480816661541686
T207	E1	CRC	0.00508867373718063	0.00246088130177201	107	40	0.0411872132966269	0.480816661541686
T115	E1	CRC	0.0250830873732767	0.0121848103186605	107	83	0.0420858824365369	0.486567105330801
T163	X2	X2	-0.000419603747568834	0.000204766663059434	107	42	0.0430114838976101	0.487051056308121
T186	E1	CRC	0.0132471448689626	0.00647104009323421	107	37	0.0432149095719818	0.487051056308121
T214	X1	male	0.00226482286910287	0.00110476942397035	107	27	0.0429257192364952	0.487051056308121
T286	X2	X2	-0.000389935919650218	0.000189936481285419	107	24	0.0426341098701712	0.487051056308121
T3	X3	X3	0.00639571117846193	0.0031291406540176	107	102	0.0435385447150625	0.487185551128902
T111	E1	CRC	0.0417122533770169	0.0204309511317565	107	60	0.0437705768592373	0.487185551128902
T53	E1	CRC	0.0115068822746936	0.00565770825496118	107	77	0.0445637088578251	0.492951643661868
T55	E1	CRC	-0.00472785648784451	0.00233970014024945	107	77	0.045930424232623	0.49751945212778
T132	X2	X2	-0.000805663885723746	0.000398643650357778	107	69	0.0458985640358809	0.49751945212778
T301	E1	CRC	0.00837837228916634	0.00414929938793529	107	22	0.0460871813913011	0.49751945212778
T328	X2	X2	-0.000258026957396663	0.000127769230344657	107	14	0.0460606776028732	0.49751945212778
T259	X3	X3	0.00153006724345999	0.000761439054313604	107	23	0.0471317286975774	0.505748849257837
T357	E1	CRC	0.00170573515332304	0.000851438414831236	107	7	0.0477914298163411	0.50675882976854
T432	X1	male	-0.00316127605316043	0.00157708494865199	107	2	0.0476662696591156	0.50675882976854
T274	X2	X2	-4.28138754733541e-05	2.14273019967083e-05	107	5	0.0483678321207958	0.50917650773423
T343	X3	X3	-0.000737914339976621	0.000369676639589776	107	6	0.048587713628657	0.50917650773423
T337	X2	X2	-0.000195843512000725	9.85769160192321e-05	107	6	0.0496370131047005	0.517148415602461
T230	E1	CRC	0.00269414139560326	0.00135890715061551	107	23	0.0501038953372065	0.518995262683665
T388	X2	X2	-4.01111522271257e-05	2.031777216441e-05	107	3	0.0510641738075129	0.52590229576473
T102	E1	CRC	0.0153193488856207	0.00777326413403961	107	35	0.0514596813927316	0.526947137461572
T211	E1	CRC	-0.00141423098031517	0.000718739236172506	107	26	0.0518230586091265	0.527091358132149
T365	X1	male	0.00627288954723131	0.00319457352515733	107	8	0.0522978269248423	0.527091358132149
T374	X3	X3	0.000175622436743496	8.94612152197401e-05	107	7	0.0523561728501799	0.527091358132149
T2	X3	X3	0.00328534832964411	0.0016876669928666	107	104	0.054323650197588	0.527737046335162
T46	E1	CRC	-0.0196656097391848	0.0101009143519076	107	103	0.0542952749913259	0.527737046335162
T51	X3	X3	0.000417545316197067	0.000213580686229597	107	49	0.0533225931712917	0.527737046335162
T205	X1	male	-0.000622721938835803	0.000319819367922854	107	5	0.0542720210824948	0.527737046335162
T284	E1	CRC	0.00270001367455266	0.00138743489443486	107	3	0.0544007170658485	0.527737046335162
T327	X2	X2	-0.000540037057749315	0.000277559798231727	107	22	0.0544478423994601	0.527737046335162
